JW0350,yaiX
JW5049,ykiB
JW0362,yaiT
JW5051,yaiU
JW0508,ylbE
JW5078,nmpC
JW5815,tfaD
JW0613,dcuC
JW0616,dcuC
JW5763,yjgX
JW5095,ybfH
JW5425,ygaQ
JW5459,ygeM
JW5619,tnaB
JW5145,ymdE
JW1402,ydbA
JW1311,ycjV
JW1710,arpB
JW5176,ycgH
JW1227,ychG
JW1453,yncI
JW1682,ydiB
JW5319,yedS
JW1961,yeeL
JW5179,ymgH
JW1413,gapC
JW5340,gatR
JW2074,gatR
JW2078,gatA
JW2081,gatA
JW5426,yqaC
JW2335,yfcU
JW5838,yohG
JW2221,yfaS
JW2334,yfcT
JW5770,yjhD
JW2631,ygaR
JW5428,ygaY
JW2102,molR
JW4234,yjgX
JW4242,yjhE
JW5457,pbl
JW5458,ygeK
JW5460,ygeN
JW5496,yghY
JW3740,ilvG
JW3658,glvG
JW3741,ilvG
JW3103,agaW
JW3184,yhcE
JW5674,yhiK
JW4064,phnE
JW4182,yzfA
JW4195,cybC
JW0527,ybcD
JW5094,ybfG
JW5814,yaiF
JW1002,ycdN
JW5278,arpB
JW1948,yedS
JW5802,ydbA
JW5257,ynfP
JW5141,ycdN
JW5203,ymjB
JW5173,icdC
JW5198,yciX
JW5237,yncM
JW5325,yeeL
JW5326,yoeA
JW2012,wbbL
JW5227,yncK
JW1162,ycgI
JW1918,yedN
JW2621,yfjV
JW2222,yfaS
JW5199,yciX
JW0507,ylbE
JW5358,yohH
JW2633,yqaD
JW2824,ygeL
JW5622,tnaB
JW3187,yhcE
JW5678,yrhC
JW3750,yifN
